;Nombre;Estrellas;Ciudad;Calificacion;Numero de reseñas;Precio por noche;Direccion;Servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20;Hotel Chi Ibal Hu Cancun;0;Cancún;4.9;215;386;C. 35 Nte. 63,  77513,  Cancún,  México;['Recepción 24 horas', 'Wifi gratis', 'Aire acondicionado'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21;Hotel Kyoto;0;Puebla;8.4;154;388;24 Norte 210-B Colonia Resurgimiento,  72340,  Puebla,  México;['Check-in/check-out online', 'Check-in/out exprés', 'Desayuno', 'Doctor en el hotel', 'Estacionamiento', 'Gel desinfectante disponible', 'Habitaciones hipoalergénicas', 'Habitación de no fumar', 'Nuevos protocolos de seguridad', 'Opción de pago sin efectivo', 'Protocolo de respuesta', 'Recepción 24 horas', 'Sala de conferencias', 'Sana distancia', 'Servicio a la habitación', 'Servicio de limpieza', 'Toma de temperatura', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Baño con regadera', 'Escritorio', 'TV', 'Televisión por cable', 'Teléfono', 'Ventilador', 'Wifi gratis (habitaciones)', 'Estacionamiento adaptado para discapacitados'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22;Hotel San Francisco Leon;4;Leon;7.7;9273;396;Boulevard Adolfo López Mateos 2715, Oriente Col.Barrio de Guadalupe,  37530,  Leon,  México;['Alberca', 'Alberca exterior', 'Bar en el hotel', 'Botones', 'Café', 'Camastros', 'Check-in/check-out online', 'Check-in/out exprés', 'Concierge', 'Cubrebocas disponibles', 'Desayuno', 'Desinfección frecuente', 'Doctor en el hotel', 'Elevador', 'Estacionamiento', 'Gel desinfectante disponible', 'Habitación de no fumar', 'Nuevos protocolos de seguridad', 'Opción de pago sin efectivo', 'Protocolo de respuesta', 'Recepción 24 horas', 'Resguardo de equipaje', 'Restaurante', 'Sala de conferencias', 'Sana distancia', 'Servicio a la habitación', 'Servicio de limpieza', 'Snack bar', 'Sombrillas', 'Terraza', 'Toma de temperatura', 'Trouser press', 'Wifi en el lobby', 'Wifi gratis', 'Wifi gratis (áreas comunes)', '', 'Aire acondicionado', 'Balcón', 'Baño con regadera', 'Caja fuerte en habitación', 'Calefacción central', 'Clóset', 'Escritorio', 'Radio', 'Se pueden abrir ventanas', 'Secadora de cabello', 'TV', 'Televisión por cable', 'Teléfono', 'Ventilador', 'Wifi', 'Wifi gratis (habitaciones)', 'Estacionamiento adaptado para discapacitados', 'Hotel accesible'],,,
23;OYO Hotel Brazil,Guadalajara,Estadio Jalisco;2;Guadalajara;5.3;167;397;Calz. Independencia Nte. 1231,  44290,  Guadalajara,  México;['Check-in/check-out online', 'Desinfección frecuente', 'Doctor en el hotel', 'Gel desinfectante disponible', 'Habitación de no fumar', 'Mascotas permitidas', 'Nuevos protocolos de seguridad', 'Opción de pago sin efectivo', 'PC con internet', 'Recepción 24 horas', 'Resguardo de equipaje', 'Sana distancia', 'Servicio a la habitación', 'Servicio de lavandería', 'Tienda/quiosco', 'Toma de temperatura', 'Wifi en el lobby', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Baño con regadera', 'Cocina', 'Pantalla plana', 'Se pueden abrir ventanas', 'TV', 'TV por satélite', 'Televisión por cable', 'Ventilador', 'Wifi', 'Wifi gratis (habitaciones)', 'Hab. para personas con discapacidad'],,,,,,,,,,,,,,,,,,,,,,,,,,
24;Hotel De Talavera;3;Puebla;6.8;718;398;3 Sur 105,  72000,  Puebla,  México;['Check-in/check-out online', 'Check-in/out exprés', 'Cubrebocas disponibles', 'Desayuno', 'Doctor en el hotel', 'Estacionamiento', 'Gel desinfectante disponible', 'Habitación de no fumar', 'Nuevos protocolos de seguridad', 'PC con internet', 'Protocolo de respuesta', 'Recepción 24 horas', 'Resguardo de equipaje', 'Sana distancia', 'Snack bar', 'Terraza', 'Toma de temperatura', 'Valet parking', 'Wifi en el lobby', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Balcón', 'Caja fuerte en habitación', 'Se pueden abrir ventanas', 'TV', 'Televisión por cable', 'Wifi', 'Wifi gratis (habitaciones)', 'Estacionamiento adaptado para discapacitados'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25;Hotel Esperanza Oaxaca Centro;2;Oaxaca;6.6;222;405;Av. Hidalgo 1216, Centro, Oaxaca de Juárez,  68000,  Oaxaca,  México;['Check-in/check-out online', 'Check-in/out exprés', 'Habitación de no fumar', 'Nuevos protocolos de seguridad', 'Opción de pago sin efectivo', 'Protocolo de respuesta', 'Recepción 24 horas', 'Resguardo de equipaje', 'Sana distancia', 'Servicio a la habitación', 'Servicio de limpieza', 'Terraza', 'Toma de temperatura', 'Wifi en el lobby', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Balcón', 'Baño con regadera', 'Pantalla plana', 'Se pueden abrir ventanas', 'Wifi', 'Wifi gratis (habitaciones)'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26;Hotel Frida Puebla Puebla;0;Puebla;8.2;441;407;Calle 2 Norte 206 Colonia Centro,  72000,  Puebla,  México;['Check-in/check-out online', 'Check-in/out exprés', 'Concierge', 'Desinfección frecuente', 'Doctor en el hotel', 'Estacionamiento', 'Gel desinfectante disponible', 'Habitación de no fumar', 'Nuevos protocolos de seguridad', 'Opción de pago sin efectivo', 'Protocolo de respuesta', 'Recepción 24 horas', 'Resguardo de equipaje', 'Sana distancia', 'Servicio a la habitación', 'Servicio de lavandería', 'Servicio de limpieza', 'Toma de temperatura', 'Valet parking', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Baño con regadera', 'Caja fuerte en habitación', 'Clóset', 'Escritorio', 'Secadora de cabello', 'Televisión por cable', 'Teléfono', 'Ventilador', 'Wifi gratis (habitaciones)'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
27;Capital O Hospedaje Los Angeles;0;San Cristóbal de las Casas;8.7;20;413;9 de Enero, 33 Col. Obrera Crom,  29243,  San Cristóbal de las Casas,  México;['Check-in/check-out online', 'Habitación de no fumar', 'Nuevos protocolos de seguridad', 'Protocolo de respuesta', 'Recepción 24 horas', 'Resguardo de equipaje', 'Sana distancia', 'Servicio a la habitación', 'Servicio de limpieza', 'Wifi en el lobby', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Escritorio', 'Televisión por cable', 'Wifi', 'Wifi gratis (habitaciones)'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28;Hotel Aruma Ha;0;Isla Holbox;8.7;30;415;Aeródromo de Holbox Calle Erizo no 3,  77310,  Isla Holbox,  México;['Alberca', 'Alberca exterior', 'Check-in/check-out online', 'Desinfección frecuente', 'Doctor en el hotel', 'Gel desinfectante disponible', 'Habitación de no fumar', 'Mascotas permitidas', 'Nuevos protocolos de seguridad', 'Opción de pago sin efectivo', 'Protocolo de respuesta', 'Sala de juegos o videojuegos', 'Sana distancia', 'Servicio a la habitación', 'Servicio de limpieza', 'Toma de temperatura', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Aire acondicionado', 'Balcón', 'Cocina', 'Wifi gratis (habitaciones)'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29;Hotel Posada Don Ramon;3;Zacatlan;9.0;388;420;Leandro Valle No. 23 Col. Centro,  73310,  Zacatlan,  México;['Centro de negocios', 'Check-in/check-out online', 'Estacionamiento', 'Gel desinfectante disponible', 'Habitación de no fumar', 'Lobby/vestíbulo', 'Mascotas permitidas', 'Nuevos protocolos de seguridad', 'Opción de pago sin efectivo', 'Protocolo de respuesta', 'Recepción 24 horas', 'Restaurante', 'Sala de conferencias', 'Sana distancia', 'Servicio a la habitación', 'Spa', 'Terraza', 'Toma de temperatura', 'Wifi en el lobby', 'Wifi gratis', 'Wifi gratis (áreas comunes)', 'Balcón', 'Escritorio', 'Se pueden abrir ventanas', 'TV', 'Televisión por cable', 'Wifi', 'Wifi gratis (habitaciones)', 'Estacionamiento adaptado para discapacitados'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
